단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,원형,인덱스 표현
가미강활속단탕,1786,3546,2953,NNP,*,T,가미강활속단탕,Compound,*,*,*,가미/NNP/*+강활/NNP/*+속단/NNP/*+탕/NNP/*
가미곽정탕,1786,3546,2953,NNP,*,T,가미곽정탕,Compound,*,*,*,가미/NNP/*+곽정/NNP/*+탕/NNP/*
가미귀비탕,1786,3546,2953,NNP,*,T,가미귀비탕,Compound,*,*,*,가미/NNP/*+귀비탕/NNP/*
가미대강활탕,1786,3546,2953,NNP,*,T,가미대강활탕,Compound,*,*,*,가미/NNP/*+강활/NNP/*+탕/NNP/*
가미대보탕,1786,3546,2953,NNP,*,T,가미대보탕,Compound,*,*,*,가미/NNP/*+대보탕/NNP/*
가미보익탕,1786,3546,2953,NNP,*,T,가미보익탕,Compound,*,*,*,가미/NNP/*+보익/NNP/*+탕/NNP/*
가미보중익기탕,1786,3546,2953,NNP,*,T,가미보중익기탕,Compound,*,*,*,가미/NNP/*+보중익기탕/NNP/*
가미사육탕,1786,3546,2953,NNP,*,T,가미사육탕,Compound,*,*,*,미사/NNP/*+육탕/NNP/*
가미사칠탕,1786,3546,2953,NNP,*,T,가미사칠탕,Compound,*,*,*,가미/NNP/*+사/NNP/*+칠/NNP/*+탕/NNP/*
가미생화탕,1786,3546,2953,NNP,*,T,가미생화탕,Compound,*,*,*,가미/NNP/*+탕/NNP/*
가미서경탕,1786,3546,2953,NNP,*,T,가미서경탕,Compound,*,*,*,가미/NNP/*+서경/NNP/*+탕/NNP/*
가미소담제습탕,1786,3546,2953,NNP,*,T,가미소담제습탕,Compound,*,*,*,가미/NNP/*+소담/NNP/*+제습/NNP/*+탕/NNP/*
가미소풍활혈탕,1786,3546,2953,NNP,*,T,가미소풍활혈탕,Compound,*,*,*,가미/NNP/*+소풍활혈탕/NNP/*
가미십전탕,1786,3546,2953,NNP,*,T,가미십전탕,Compound,*,*,*,가미/NNP/*+십/NNP/*+전탕/NNP/*
가미쌍화탕,1786,3546,2953,NNP,*,T,가미쌍화탕,Compound,*,*,*,가미/NNP/*+쌍화탕/NNP/*
가미온담탕,1786,3546,2953,NNP,*,T,가미온담탕,Compound,*,*,*,가미/NNP/*+온담탕/NNP/*
가미윌비가출탕,1786,3546,2953,NNP,*,T,가미윌비가출탕,Compound,*,*,*,가미/NNP/*+윌비/NNP/*+출탕/NNP/*
가미조리폐원탕,1786,3546,2953,NNP,*,T,가미조리폐원탕,Compound,*,*,*,가미/NNP/*+조리/NNP/*+폐원/NNP/*+탕/NNP/*
가미진해탕,1786,3546,2953,NNP,*,T,가미진해탕,Compound,*,*,*,미진/NNP/*+해탕/NNP/*
가미천금조위탕,1786,3546,2953,NNP,*,T,가미천금조위탕,Compound,*,*,*,가미/NNP/*+천금/NNP/*+조위/NNP/*+탕/NNP/*
가미청간탕,1786,3546,2953,NNP,*,T,가미청간탕,Compound,*,*,*,가미/NNP/*+청간/NNP/*+탕/NNP/*
가미청상보하탕,1786,3546,2953,NNP,*,T,가미청상보하탕,Compound,*,*,*,가미/NNP/*+청/NNP/*+상보/NNP/*+하탕/NNP/*
가미활혈탕,1786,3546,2953,NNP,*,T,가미활혈탕,Compound,*,*,*,가미/NNP/*+활혈/NNP/*+탕/NNP/*
갈근대승기탕,1786,3546,2953,NNP,*,T,갈근대승기탕,Compound,*,*,*,갈근/NNP/*+대승기탕/NNP/*
갈근부평탕,1786,3546,2953,NNP,*,T,갈근부평탕,Compound,*,*,*,갈근/NNP/*+부평/NNP/*+탕/NNP/*
갈근소승기탕,1786,3546,2953,NNP,*,T,갈근소승기탕,Compound,*,*,*,갈근/NNP/*+소승기탕/NNP/*
갈근승기탕,1786,3546,2953,NNP,*,T,갈근승기탕,Compound,*,*,*,갈근/NNP/*+승기탕/NNP/*
갈근조위탕,1786,3546,2953,NNP,*,T,갈근조위탕,Compound,*,*,*,갈근/NNP/*+조위/NNP/*+탕/NNP/*
갈근탕,1786,3546,2953,NNP,*,T,갈근탕,*,*,*,*,갈근탕/NNP/*
갈근해기탕,1786,3546,2953,NNP,*,T,갈근해기탕,*,*,*,*,갈근해기탕/NNP/*
갈근황련황금탕,1786,3546,2953,NNP,*,T,갈근황련황금탕,Compound,*,*,*,갈근/NNP/*+황련/NNP/*+황금/NNP/*+탕/NNP/*
갈용부평탕,1786,3546,2953,NNP,*,T,갈용부평탕,Compound,*,*,*,갈용/NNP/*+부평/NNP/*+탕/NNP/*
갈화해성탕,1786,3546,2953,NNP,*,T,갈화해성탕,Compound,*,*,*,갈화/NNP/*+성탕/NNP/*
감맥대조탕,1786,3546,2953,NNP,*,T,감맥대조탕,Compound,*,*,*,감/NNP/*+맥/NNP/*+조탕/NNP/*
감초건강탕,1786,3546,2953,NNP,*,T,감초건강탕,Compound,*,*,*,감초/NNP/*+건강/NNP/*+탕/NNP/*
감초탕,1786,3546,2953,NNP,*,T,감초탕,Compound,*,*,*,감초/NNP/*+탕/NNP/*
강출관중탕,1786,3546,2953,NNP,*,T,강출관중탕,Compound,*,*,*,강출/NNP/*+관중/NNP/*+탕/NNP/*
강화지황탕,1786,3546,2953,NNP,*,T,강화지황탕,Compound,*,*,*,강화/NNP/*+지황탕/NNP/*
강활방풍탕,1786,3546,2953,NNP,*,T,강활방풍탕,Compound,*,*,*,강활/NNP/*+방풍/NNP/*+탕/NNP/*
강활승습탕,1786,3546,2953,NNP,*,T,강활승습탕,Compound,*,*,*,강활/NNP/*+승습/NNP/*+탕/NNP/*
개결서경탕,1786,3546,2953,NNP,*,T,개결서경탕,Compound,*,*,*,개결/NNP/*+서경/NNP/*+탕/NNP/*
거담청심탕,1786,3546,2953,NNP,*,T,거담청심탕,Compound,*,*,*,거담/NNP/*+청심/NNP/*+탕/NNP/*
거습활혈지통탕,1786,3546,2953,NNP,*,T,거습활혈지통탕,Compound,*,*,*,거습/NNP/*+활혈/NNP/*+지통/NNP/*+탕/NNP/*
건리탕,1786,3546,2953,NNP,*,T,건리탕,*,*,*,*,건리탕/NNP/*
건율저근피탕,1786,3546,2953,NNP,*,T,건율저근피탕,Compound,*,*,*,건율/NNP/*+근피/NNP/*+탕/NNP/*
건율제조탕,1786,3546,2953,NNP,*,T,건율제조탕,Compound,*,*,*,건율/NNP/*+조탕/NNP/*
견통도담탕,1786,3546,2953,NNP,*,T,견통도담탕,Compound,*,*,*,견/NNP/*+통도/NNP/*+담/NNP/*+탕/NNP/*
경험조위탕,1786,3546,2953,NNP,*,T,경험조위탕,Compound,*,*,*,경험/NNP/*+조위/NNP/*+탕/NNP/*
계강양위탕,1786,3546,2953,NNP,*,T,계강양위탕,Compound,*,*,*,계강/NNP/*+양위탕/NNP/*
계부곽진이중탕,1786,3546,2953,NNP,*,T,계부곽진이중탕,Compound,*,*,*,계부/NNP/*+곽진/NNP/*+이중탕/NNP/*
계작지모탕,1786,3546,2953,NNP,*,T,계작지모탕,Compound,*,*,*,계/NNP/*+모탕/NNP/*
계지가영출부탕,1786,3546,2953,NNP,*,T,계지가영출부탕,Compound,*,*,*,계지/NNP/*+영출/NNP/*+부탕/NNP/*
계지가영출황기탕,1786,3546,2953,NNP,*,T,계지가영출황기탕,Compound,*,*,*,계지/NNP/*+영출/NNP/*+황기탕/NNP/*
계지가용골모려탕,1786,3546,2953,NNP,*,T,계지가용골모려탕,Compound,*,*,*,계지/NNP/*+용골/NNP/*+모려/NNP/*+탕/NNP/*
계지가작약생강인삼탕,1786,3546,2953,NNP,*,T,계지가작약생강인삼탕,Compound,*,*,*,계지/NNP/*+작약/NNP/*+생강/NNP/*+인삼탕/NNP/*
계지가황기탕,1786,3546,2953,NNP,*,T,계지가황기탕,Compound,*,*,*,계지/NNP/*+황기탕/NNP/*
계지반하생강탕,1786,3546,2953,NNP,*,T,계지반하생강탕,Compound,*,*,*,계지/NNP/*+반하/NNP/*+생강/NNP/*+탕/NNP/*
계지탕,1786,3546,2953,NNP,*,T,계지탕,*,*,*,*,계지탕/NNP/*
고기조위탕,1786,3546,2953,NNP,*,T,고기조위탕,Compound,*,*,*,고기/NNP/*+조위/NNP/*+탕/NNP/*
고본부평탕,1786,3546,2953,NNP,*,T,고본부평탕,Compound,*,*,*,고본/NNP/*+부평/NNP/*+탕/NNP/*
고충탕,1786,3546,2953,NNP,*,T,고충탕,Compound,*,*,*,고충/NNP/*+탕/NNP/*
과루계지탕,1786,3546,2953,NNP,*,T,과루계지탕,Compound,*,*,*,과루/NNP/*+계지탕/NNP/*
과루해백백주탕,1786,3546,2953,NNP,*,T,과루해백백주탕,Compound,*,*,*,과루/NNP/*+백/NNP/*+백/NNP/*+주탕/NNP/*
관계부자이중탕,1786,3546,2953,NNP,*,T,관계부자이중탕,Compound,*,*,*,관계/NNP/*+부자이중탕/NNP/*
관중탕,1786,3546,2953,NNP,*,T,관중탕,Compound,*,*,*,관중/NNP/*+탕/NNP/*
교애지혈탕,1786,3546,2953,NNP,*,T,교애지혈탕,Compound,*,*,*,교/NNP/*+애/NNP/*+지혈/NNP/*+탕/NNP/*
구미강활탕,1786,3546,2953,NNP,*,T,구미강활탕,*,*,*,*,구미강활탕/NNP/*
구미천문동탕,1786,3546,2953,NNP,*,T,구미천문동탕,Compound,*,*,*,구미/NNP/*+천문/NNP/*+동탕/NNP/*
궁귀총소이중탕,1786,3546,2953,NNP,*,T,궁귀총소이중탕,Compound,*,*,*,궁귀/NNP/*+이중탕/NNP/*
귀기건중탕,1786,3546,2953,NNP,*,T,귀기건중탕,Compound,*,*,*,귀기/NNP/*+중탕/NNP/*
귀비탕,1786,3546,2953,NNP,*,T,귀비탕,*,*,*,*,귀비탕/NNP/*
귀출이경탕,1786,3546,2953,NNP,*,T,귀출이경탕,Compound,*,*,*,귀/NNP/*+이경/NNP/*+탕/NNP/*
귀출파징탕,1786,3546,2953,NNP,*,T,귀출파징탕,Compound,*,*,*,귀/NNP/*+파/NNP/*+징/NNP/*+탕/NNP/*
귤령보생탕,1786,3546,2953,NNP,*,T,귤령보생탕,Compound,*,*,*,귤/NNP/*+령/NNP/*+보생/NNP/*+탕/NNP/*
귤피죽여탕,1786,3546,2953,NNP,*,T,귤피죽여탕,Compound,*,*,*,귤/NNP/*+피죽/NNP/*+여탕/NNP/*
금출도담탕,1786,3546,2953,NNP,*,T,금출도담탕,Compound,*,*,*,금/NNP/*+출도/NNP/*+담/NNP/*+탕/NNP/*
내소화중탕,1786,3546,2953,NNP,*,T,내소화중탕,Compound,*,*,*,내소/NNP/*+중탕/NNP/*
냉부탕,1786,3546,2953,NNP,*,T,냉부탕,*,*,*,*,부탕/NNP/*
노강양위탕,1786,3546,2953,NNP,*,T,노강양위탕,Compound,*,*,*,노강/NNP/*+양위탕/NNP/*
녹각대보탕,1786,3546,2953,NNP,*,T,녹각대보탕,Compound,*,*,*,녹각/NNP/*+대보탕/NNP/*
녹용대보탕,1786,3546,2953,NNP,*,T,녹용대보탕,Compound,*,*,*,녹용/NNP/*+대보탕/NNP/*
단삼보혈탕,1786,3546,2953,NNP,*,T,단삼보혈탕,Compound,*,*,*,삼/NNP/*+보혈/NNP/*+탕/NNP/*
당귀건중탕,1786,3546,2953,NNP,*,T,당귀건중탕,Compound,*,*,*,당귀/NNP/*+중탕/NNP/*
당귀백하수오관중탕,1786,3546,2953,NNP,*,T,당귀백하수오관중탕,Compound,*,*,*,당귀/NNP/*+백/NNP/*+하수오/NNP/*+관중/NNP/*+탕/NNP/*
당귀보혈탕,1786,3546,2953,NNP,*,T,당귀보혈탕,Compound,*,*,*,당귀/NNP/*+보혈/NNP/*+탕/NNP/*
당귀사역가오수유생강탕,1786,3546,2953,NNP,*,T,당귀사역가오수유생강탕,Compound,*,*,*,당귀/NNP/*+사역/NNP/*+오수유/NNP/*+생강/NNP/*+탕/NNP/*
당귀사역탕,1786,3546,2953,NNP,*,T,당귀사역탕,Compound,*,*,*,당귀/NNP/*+사역/NNP/*+탕/NNP/*
당귀육황탕,1786,3546,2953,NNP,*,T,당귀육황탕,*,*,*,*,당귀육황탕/NNP/*
당귀탕,1786,3546,2953,NNP,*,T,당귀탕,Compound,*,*,*,당귀/NNP/*+탕/NNP/*
당귀활혈탕,1786,3546,2953,NNP,*,T,당귀활혈탕,Compound,*,*,*,당귀/NNP/*+활혈/NNP/*+탕/NNP/*
대강활탕,1786,3546,2953,NNP,*,T,대강활탕,Compound,*,*,*,강활/NNP/*+탕/NNP/*
대방풍탕,1786,3546,2953,NNP,*,T,대방풍탕,Compound,*,*,*,대방/NNP/*+탕/NNP/*
대승기탕,1786,3546,2953,NNP,*,T,대승기탕,*,*,*,*,대승기탕/NNP/*
대시호탕,1786,3546,2953,NNP,*,T,대시호탕,*,*,*,*,대시호탕/NNP/*
대청룡탕,1786,3546,2953,NNP,*,T,대청룡탕,Compound,*,*,*,청룡/NNP/*+탕/NNP/*
대함흉탕,1786,3546,2953,NNP,*,T,대함흉탕,Compound,*,*,*,대함/NNP/*+흉/NNP/*+탕/NNP/*
대황목단탕,1786,3546,2953,NNP,*,T,대황목단탕,Compound,*,*,*,대황/NNP/*+목단/NNP/*+탕/NNP/*
대황부자탕,1786,3546,2953,NNP,*,T,대황부자탕,Compound,*,*,*,대황/NNP/*+부자/NNP/*+탕/NNP/*
도담탕,1786,3546,2953,NNP,*,T,도담탕,Compound,*,*,*,도담/NNP/*+탕/NNP/*
도인승기탕,1786,3546,2953,NNP,*,T,도인승기탕,Compound,*,*,*,도인/NNP/*+승기탕/NNP/*
도적강기탕,1786,3546,2953,NNP,*,T,도적강기탕,Compound,*,*,*,도적/NNP/*+강기/NNP/*+탕/NNP/*
도핵승기탕,1786,3546,2953,NNP,*,T,도핵승기탕,Compound,*,*,*,핵/NNP/*+승기탕/NNP/*
독삼관계이중탕,1786,3546,2953,NNP,*,T,독삼관계이중탕,Compound,*,*,*,독/NNP/*+삼/NNP/*+관계/NNP/*+이중탕/NNP/*
독삼양붕탕,1786,3546,2953,NNP,*,T,독삼양붕탕,Compound,*,*,*,독/NNP/*+삼/NNP/*+양붕/NNP/*+탕/NNP/*
독삼탕,1786,3546,2953,NNP,*,T,독삼탕,*,*,*,*,독삼탕/NNP/*
독삼팔물군자탕,1786,3546,2953,NNP,*,T,독삼팔물군자탕,Compound,*,*,*,독/NNP/*+삼/NNP/*+팔/NNP/*+물/NNP/*+군자/NNP/*+탕/NNP/*
독삼팔물탕,1786,3546,2953,NNP,*,T,독삼팔물탕,Compound,*,*,*,독/NNP/*+삼/NNP/*+팔/NNP/*+물탕/NNP/*
독활기생탕,1786,3546,2953,NNP,*,T,독활기생탕,*,*,*,*,독활기생탕/NNP/*
독활생기탕,1786,3546,2953,NNP,*,T,독활생기탕,Compound,*,*,*,독활/NNP/*+생기/NNP/*+탕/NNP/*
독활지황탕,1786,3546,2953,NNP,*,T,독활지황탕,Compound,*,*,*,독활/NNP/*+지황탕/NNP/*
마황발표탕,1786,3546,2953,NNP,*,T,마황발표탕,Compound,*,*,*,마황/NNP/*+발표/NNP/*+탕/NNP/*
마황연교적소두탕,1786,3546,2953,NNP,*,T,마황연교적소두탕,Compound,*,*,*,마황/NNP/*+연교/NNP/*+소두/NNP/*+탕/NNP/*
마황연초적소두탕,1786,3546,2953,NNP,*,T,마황연초적소두탕,Compound,*,*,*,마황/NNP/*+연초/NNP/*+소두/NNP/*+탕/NNP/*
마황정천탕,1786,3546,2953,NNP,*,T,마황정천탕,Compound,*,*,*,마황/NNP/*+정천/NNP/*+탕/NNP/*
마황정통탕,1786,3546,2953,NNP,*,T,마황정통탕,Compound,*,*,*,마황/NNP/*+정통/NNP/*+탕/NNP/*
마황조위탕,1786,3546,2953,NNP,*,T,마황조위탕,Compound,*,*,*,마황/NNP/*+조위/NNP/*+탕/NNP/*
마황탕,1786,3546,2953,NNP,*,T,마황탕,*,*,*,*,마황탕/NNP/*
마황행인감초석고탕,1786,3546,2953,NNP,*,T,마황행인감초석고탕,Compound,*,*,*,마황/NNP/*+행인/NNP/*+감초/NNP/*+석고/NNP/*+탕/NNP/*
만금소풍탕,1786,3546,2953,NNP,*,T,만금소풍탕,Compound,*,*,*,만금/NNP/*+소풍/NNP/*+탕/NNP/*
맥문동탕,1786,3546,2953,NNP,*,T,맥문동탕,*,*,*,*,맥문동탕/NNP/*
목단피지황탕,1786,3546,2953,NNP,*,T,목단피지황탕,Compound,*,*,*,목단피/NNP/*+지황탕/NNP/*
목통대안탕,1786,3546,2953,NNP,*,T,목통대안탕,Compound,*,*,*,목통/NNP/*+대안/NNP/*+탕/NNP/*
목통무우탕,1786,3546,2953,NNP,*,T,목통무우탕,Compound,*,*,*,목통/NNP/*+무우/NNP/*+탕/NNP/*
미후도식장탕,1786,3546,2953,NNP,*,T,미후도식장탕,Compound,*,*,*,미후/NNP/*+도식/NNP/*+장탕/NNP/*
미후등식장탕,1786,3546,2953,NNP,*,T,미후등식장탕,Compound,*,*,*,미후/NNP/*+등식/NNP/*+장탕/NNP/*
민방금은화탕,1786,3546,2953,NNP,*,T,민방금은화탕,Compound,*,*,*,민방/NNP/*+금은화/NNP/*+탕/NNP/*
반하백출천마탕,1786,3546,2953,NNP,*,T,반하백출천마탕,Compound,*,*,*,반하/NNP/*+백출/NNP/*+천마/NNP/*+탕/NNP/*
반하사심탕,1786,3546,2953,NNP,*,T,반하사심탕,Compound,*,*,*,반하/NNP/*+사심/NNP/*+탕/NNP/*
반하후박탕,1786,3546,2953,NNP,*,T,반하후박탕,Compound,*,*,*,반하/NNP/*+후박/NNP/*+탕/NNP/*
방기황기탕,1786,3546,2953,NNP,*,T,방기황기탕,Compound,*,*,*,방기/NNP/*+황기탕/NNP/*
방풍탕,1786,3546,2953,NNP,*,T,방풍탕,Compound,*,*,*,방풍/NNP/*+탕/NNP/*
방풍해독탕,1786,3546,2953,NNP,*,T,방풍해독탕,Compound,*,*,*,방풍/NNP/*+독탕/NNP/*
백두옹탕,1786,3546,2953,NNP,*,T,백두옹탕,Compound,*,*,*,백두/NNP/*+옹탕/NNP/*
백하수오부자이중탕,1786,3546,2953,NNP,*,T,백하수오부자이중탕,Compound,*,*,*,백/NNP/*+하수오/NNP/*+부자이중탕/NNP/*
백하수오이중탕,1786,3546,2953,NNP,*,T,백하수오이중탕,Compound,*,*,*,백/NNP/*+하수오/NNP/*+이중탕/NNP/*
백하오군자탕,1786,3546,2953,NNP,*,T,백하오군자탕,Compound,*,*,*,백/NNP/*+하오/NNP/*+군자/NNP/*+탕/NNP/*
백합고금탕,1786,3546,2953,NNP,*,T,백합고금탕,Compound,*,*,*,백합/NNP/*+고금/NNP/*+탕/NNP/*
백호탕,1786,3546,2953,NNP,*,T,백호탕,*,*,*,*,백호탕/NNP/*
보신건양탕,1786,3546,2953,NNP,*,T,보신건양탕,Compound,*,*,*,건/NNP/*+탕/NNP/*
보심건비탕,1786,3546,2953,NNP,*,T,보심건비탕,Compound,*,*,*,보/NNP/*+심건/NNP/*+비탕/NNP/*
보심사화청간탕,1786,3546,2953,NNP,*,T,보심사화청간탕,Compound,*,*,*,보/NNP/*+심사/NNP/*+청간/NNP/*+탕/NNP/*
보아탕,1786,3546,2953,NNP,*,T,보아탕,*,*,*,*,탕/NNP/*
보양환오탕,1786,3546,2953,NNP,*,T,보양환오탕,Compound,*,*,*,보양/NNP/*+환오/NNP/*+탕/NNP/*
보장건비탕,1786,3546,2953,NNP,*,T,보장건비탕,Compound,*,*,*,보장/NNP/*+건비/NNP/*+탕/NNP/*
보중익기탕,1786,3546,2953,NNP,*,T,보중익기탕,*,*,*,*,보중익기탕/NNP/*
보폐원탕,1786,3546,2953,NNP,*,T,보폐원탕,Compound,*,*,*,보폐/NNP/*+원/NNP/*+탕/NNP/*
보폐탕,1786,3546,2953,NNP,*,T,보폐탕,Compound,*,*,*,보폐/NNP/*+탕/NNP/*
보허생화탕,1786,3546,2953,NNP,*,T,보허생화탕,Compound,*,*,*,보허/NNP/*+탕/NNP/*
보허탕,1786,3546,2953,NNP,*,T,보허탕,*,*,*,*,보허탕/NNP/*
보혈안신탕,1786,3546,2953,NNP,*,T,보혈안신탕,Compound,*,*,*,보혈/NNP/*+안신/NNP/*+탕/NNP/*
복령백출탕,1786,3546,2953,NNP,*,T,복령백출탕,Compound,*,*,*,복령/NNP/*+백/NNP/*+출탕/NNP/*
복맥탕,1786,3546,2953,NNP,*,T,복맥탕,Compound,*,*,*,복맥/NNP/*+탕/NNP/*
복원양영탕,1786,3546,2953,NNP,*,T,복원양영탕,Compound,*,*,*,복원/NNP/*+양영/NNP/*+탕/NNP/*
복원활혈탕,1786,3546,2953,NNP,*,T,복원활혈탕,Compound,*,*,*,복원/NNP/*+활혈/NNP/*+탕/NNP/*
부양조위탕,1786,3546,2953,NNP,*,T,부양조위탕,Compound,*,*,*,부양/NNP/*+조위/NNP/*+탕/NNP/*
부자갱미탕,1786,3546,2953,NNP,*,T,부자갱미탕,Compound,*,*,*,부자/NNP/*+갱/NNP/*+미탕/NNP/*
부자온중탕,1786,3546,2953,NNP,*,T,부자온중탕,Compound,*,*,*,부자/NNP/*+온중/NNP/*+탕/NNP/*
부자이중탕,1786,3546,2953,NNP,*,T,부자이중탕,*,*,*,*,부자이중탕/NNP/*
사군자탕,1786,3546,2953,NNP,*,T,사군자탕,*,*,*,*,사군자탕/NNP/*
사물탕,1786,3546,2953,NNP,*,T,사물탕,*,*,*,*,사물탕/NNP/*
사역탕,1786,3546,2953,NNP,*,T,사역탕,Compound,*,*,*,사역/NNP/*+탕/NNP/*
산밀탕,1786,3546,2953,NNP,*,T,산밀탕,Compound,*,*,*,산/NNP/*+탕/NNP/*
산조인탕,1786,3546,2953,NNP,*,T,산조인탕,Compound,*,*,*,산조인/NNP/*+탕/NNP/*
삼백이중탕,1786,3546,2953,NNP,*,T,삼백이중탕,Compound,*,*,*,삼/NNP/*+백/NNP/*+이중탕/NNP/*
삼인탕,1786,3546,2953,NNP,*,T,삼인탕,Compound,*,*,*,삼인/NNP/*+탕/NNP/*
삼자양친탕,1786,3546,2953,NNP,*,T,삼자양친탕,Compound,*,*,*,삼자/NNP/*+양친/NNP/*+탕/NNP/*
삼출건비탕,1786,3546,2953,NNP,*,T,삼출건비탕,*,*,*,*,삼출건비탕/NNP/*
상행탕,1786,3546,2953,NNP,*,T,상행탕,Compound,*,*,*,상행/NNP/*+탕/NNP/*
생간건비탕,1786,3546,2953,NNP,*,T,생간건비탕,Compound,*,*,*,생간/NNP/*+건비/NNP/*+탕/NNP/*
생숙지황탕,1786,3546,2953,NNP,*,T,생숙지황탕,Compound,*,*,*,생숙/NNP/*+지황탕/NNP/*
생화탕,1786,3546,2953,NNP,*,T,생화탕,Compound,*,*,*,생화/NNP/*+탕/NNP/*
서각지황탕,1786,3546,2953,NNP,*,T,서각지황탕,Compound,*,*,*,서각/NNP/*+지황탕/NNP/*
서경탕,1786,3546,2953,NNP,*,T,서경탕,Compound,*,*,*,서경/NNP/*+탕/NNP/*
선복대자탕,1786,3546,2953,NNP,*,T,선복대자탕,Compound,*,*,*,선복/NNP/*+탕/NNP/*
성주청간탕,1786,3546,2953,NNP,*,T,성주청간탕,Compound,*,*,*,성주청/NNP/*+간/NNP/*+탕/NNP/*
소간탕,1786,3546,2953,NNP,*,T,소간탕,Compound,*,*,*,소간/NNP/*+탕/NNP/*
소건중탕,1786,3546,2953,NNP,*,T,소건중탕,*,*,*,*,소건중탕/NNP/*
소승기탕,1786,3546,2953,NNP,*,T,소승기탕,*,*,*,*,소승기탕/NNP/*
소시호탕,1786,3546,2953,NNP,*,T,소시호탕,*,*,*,*,소시호탕/NNP/*
